Time_s,Time_h,T1_Temp,T2_Temp,T3_Temp,T4_Temp,T5_Temp,T6_Temp,T7_Temp,T8_Temp,T9_Temp,T10_Temp
0.000000,0.000000,28.200424,28.275787,28.602806,28.661293,27.373138,27.650116,27.912216,28.175743,28.403824,28.044312
2979.310303,0.827586,14.843002,14.845428,14.820248,14.797234,14.748611,14.749550,14.750504,14.751442,14.752396,14.754639
5958.620605,1.655172,14.933701,14.933807,14.919277,14.904495,14.871338,14.872566,14.873810,14.875046,14.876282,14.876282
8937.930664,2.482759,15.070816,15.070618,15.063026,15.054955,15.036224,15.037079,15.037933,15.038773,15.039612,15.039337
11917.241211,3.310345,15.155472,15.155334,15.151661,15.147675,15.138306,15.138756,15.139221,15.139671,15.140137,15.139938
14896.551758,4.137931,15.198975,15.198883,15.197197,15.195328,15.190918,15.191139,15.191360,15.191582,15.191818,15.191696
17875.861328,4.965517,15.219696,15.219666,15.218887,15.218040,15.216019,15.216125,15.216232,15.216331,15.216431,15.216385
20855.171875,5.793103,15.229248,15.229218,15.228870,15.228500,15.227600,15.227631,15.227676,15.227737,15.227783,15.227753
23834.482422,6.620689,15.233582,15.233582,15.233410,15.233238,15.232834,15.232849,15.232864,15.232895,15.232925,15.232910
26813.792969,7.448276,15.235535,15.235535,15.235455,15.235382,15.235199,15.235214,15.235214,15.235229,15.235229,15.235229
29793.103516,8.275862,15.236404,15.236389,15.236355,15.236320,15.236252,15.236252,15.236252,15.236267,15.236267,15.236267
32772.414062,9.103448,15.236786,15.236786,15.236782,15.236755,15.236725,15.236740,15.236740,15.236740,15.236740,15.236740
35751.722656,9.931034,15.236969,15.236969,15.236969,15.236961,15.236938,15.236938,15.236938,15.236938,15.236938,15.236938
38731.035156,10.758621,15.237061,15.237061,15.237030,15.237030,15.237030,15.237030,15.237030,15.237030,15.237030,15.237030
41710.343750,11.586206,15.237091,15.237091,15.237091,15.237083,15.237061,15.237061,15.237076,15.237061,15.237061,15.237076
44689.656250,12.413794,15.237091,15.237091,15.237091,15.237091,15.237091,15.237091,15.237091,15.237091,15.237091,15.237091
47668.964844,13.241379,15.237091,15.237091,15.237091,15.237091,15.237091,15.237091,15.237091,15.237091,15.237091,15.237091
50648.277344,14.068966,15.237122,15.237122,15.237122,15.237114,15.237122,15.237106,15.237106,15.237106,15.237106,15.237106
53627.585938,14.896552,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122
56606.898438,15.724138,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122
59586.207031,16.551723,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122
62565.515625,17.379311,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122
65544.828125,18.206896,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122
68524.140625,19.034483,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122
71503.445312,19.862068,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122
74482.757812,20.689655,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122
77462.070312,21.517242,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122
80441.382812,22.344828,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122
83420.687500,23.172413,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122
86400.000000,24.000000,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122,15.237122
