Time_s,Time_h,T1_Alpha,T2_Alpha,T3_Alpha,T4_Alpha,T5_Alpha,T6_Alpha,T7_Alpha,T8_Alpha,T9_Alpha,T10_Alpha
0.000000,0.000000,0.000783,-0.001003,0.001596,0.002131,0.001144,0.001711,0.002186,0.002683,0.003085,0.002784
2979.310303,0.827586,0.051888,0.051878,0.051896,0.051904,0.051899,0.051909,0.051919,0.051930,0.051940,0.051930
5958.620605,1.655172,0.052872,0.052865,0.052870,0.052867,0.052851,0.052855,0.052860,0.052865,0.052869,0.052862
8937.930664,2.482759,0.053339,0.053337,0.053335,0.053332,0.053320,0.053322,0.053324,0.053325,0.053327,0.053325
11917.241211,3.310345,0.053501,0.053500,0.053498,0.053496,0.053490,0.053490,0.053491,0.053491,0.053492,0.053491
14896.551758,4.137931,0.053557,0.053557,0.053556,0.053555,0.053552,0.053552,0.053552,0.053553,0.053553,0.053553
17875.861328,4.965517,0.053579,0.053579,0.053578,0.053578,0.053576,0.053576,0.053576,0.053576,0.053577,0.053577
20855.171875,5.793103,0.053587,0.053587,0.053587,0.053587,0.053586,0.053586,0.053586,0.053586,0.053586,0.053586
23834.482422,6.620689,0.053591,0.053591,0.053591,0.053591,0.053590,0.053590,0.053590,0.053590,0.053590,0.053590
26813.792969,7.448276,0.053592,0.053592,0.053592,0.053592,0.053592,0.053592,0.053592,0.053592,0.053592,0.053592
29793.103516,8.275862,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593
32772.414062,9.103448,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593
35751.722656,9.931034,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593
38731.035156,10.758621,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593
41710.343750,11.586206,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593
44689.656250,12.413794,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593
47668.964844,13.241379,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593
50648.277344,14.068966,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593
53627.585938,14.896552,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593
56606.898438,15.724138,0.053594,0.053594,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593
59586.207031,16.551723,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593,0.053593
62565.515625,17.379311,0.053594,0.053594,0.053594,0.053594,0.053594,0.053594,0.053594,0.053594,0.053594,0.053594
65544.828125,18.206896,0.053594,0.053594,0.053594,0.053594,0.053594,0.053594,0.053594,0.053594,0.053594,0.053594
68524.140625,19.034483,0.053594,0.053594,0.053594,0.053594,0.053594,0.053594,0.053594,0.053594,0.053594,0.053594
71503.445312,19.862068,0.053594,0.053594,0.053594,0.053594,0.053594,0.053594,0.053594,0.053594,0.053594,0.053594
74482.757812,20.689655,0.053594,0.053594,0.053594,0.053594,0.053594,0.053594,0.053594,0.053594,0.053594,0.053594
77462.070312,21.517242,0.053594,0.053594,0.053594,0.053594,0.053594,0.053594,0.053594,0.053594,0.053594,0.053594
80441.382812,22.344828,0.053594,0.053594,0.053594,0.053594,0.053594,0.053594,0.053594,0.053594,0.053594,0.053594
83420.687500,23.172413,0.053594,0.053594,0.053594,0.053594,0.053594,0.053594,0.053594,0.053594,0.053594,0.053594
86400.000000,24.000000,0.053594,0.053594,0.053594,0.053594,0.053594,0.053594,0.053594,0.053594,0.053594,0.053594
