Time_s,Time_h,T1_Alpha,T2_Alpha,T3_Alpha,T4_Alpha,T5_Alpha,T6_Alpha,T7_Alpha,T8_Alpha,T9_Alpha,T10_Alpha
0.000000,0.000000,0.823490,1.261219,1.109384,1.394527,1.838071,1.900099,1.960762,2.020656,2.079503,2.517627
2979.310303,0.827586,-2.494060,-2.494041,-2.483439,-2.472979,-2.455042,-2.453809,-2.452592,-2.451370,-2.450150,-2.450132
5958.620605,1.655172,-2.400151,-2.400129,-2.391453,-2.382988,-2.368689,-2.367715,-2.366763,-2.365802,-2.364844,-2.364824
8937.930664,2.482759,-2.326683,-2.326666,-2.320245,-2.314032,-2.303663,-2.302961,-2.302279,-2.301589,-2.300901,-2.300887
11917.241211,3.310345,-2.274062,-2.274052,-2.269639,-2.265397,-2.258374,-2.257900,-2.257441,-2.256977,-2.256515,-2.256504
14896.551758,4.137931,-2.238714,-2.238707,-2.235824,-2.233067,-2.228524,-2.228219,-2.227924,-2.227624,-2.227327,-2.227321
17875.861328,4.965517,-2.215971,-2.215966,-2.214146,-2.212408,-2.209558,-2.209366,-2.209181,-2.208994,-2.208808,-2.208804
20855.171875,5.793103,-2.201739,-2.201736,-2.200612,-2.199539,-2.197783,-2.197664,-2.197550,-2.197436,-2.197322,-2.197319
23834.482422,6.620689,-2.192991,-2.192988,-2.192301,-2.191647,-2.190577,-2.190506,-2.190438,-2.190367,-2.190297,-2.190296
26813.792969,7.448276,-2.187668,-2.187667,-2.187250,-2.186855,-2.186208,-2.186165,-2.186124,-2.186080,-2.186038,-2.186038
29793.103516,8.275862,-2.184451,-2.184451,-2.184200,-2.183962,-2.183572,-2.183546,-2.183521,-2.183495,-2.183470,-2.183470
32772.414062,9.103448,-2.182515,-2.182514,-2.182364,-2.182221,-2.181987,-2.181971,-2.181956,-2.181941,-2.181926,-2.181925
35751.722656,9.931034,-2.181353,-2.181353,-2.181262,-2.181176,-2.181036,-2.181026,-2.181018,-2.181008,-2.180999,-2.180999
38731.035156,10.758621,-2.180655,-2.180655,-2.180601,-2.180549,-2.180466,-2.180460,-2.180455,-2.180449,-2.180444,-2.180443
41710.343750,11.586206,-2.180238,-2.180238,-2.180205,-2.180174,-2.180125,-2.180121,-2.180118,-2.180114,-2.180111,-2.180111
44689.656250,12.413794,-2.179988,-2.179988,-2.179968,-2.179950,-2.179920,-2.179918,-2.179916,-2.179914,-2.179912,-2.179912
47668.964844,13.241379,-2.179837,-2.179838,-2.179827,-2.179815,-2.179797,-2.179796,-2.179795,-2.179794,-2.179793,-2.179793
50648.277344,14.068966,-2.179747,-2.179747,-2.179742,-2.179735,-2.179725,-2.179724,-2.179723,-2.179723,-2.179721,-2.179721
53627.585938,14.896552,-2.179694,-2.179694,-2.179690,-2.179687,-2.179681,-2.179680,-2.179680,-2.179679,-2.179679,-2.179679
56606.898438,15.724138,-2.179664,-2.179664,-2.179661,-2.179658,-2.179654,-2.179654,-2.179653,-2.179653,-2.179653,-2.179653
59586.207031,16.551723,-2.179645,-2.179645,-2.179642,-2.179640,-2.179638,-2.179638,-2.179638,-2.179638,-2.179638,-2.179638
62565.515625,17.379311,-2.179631,-2.179631,-2.179631,-2.179630,-2.179629,-2.179629,-2.179629,-2.179629,-2.179628,-2.179628
65544.828125,18.206896,-2.179625,-2.179625,-2.179625,-2.179625,-2.179624,-2.179623,-2.179624,-2.179623,-2.179623,-2.179623
68524.140625,19.034483,-2.179621,-2.179621,-2.179620,-2.179621,-2.179620,-2.179620,-2.179620,-2.179620,-2.179620,-2.179620
71503.445312,19.862068,-2.179618,-2.179618,-2.179618,-2.179618,-2.179618,-2.179618,-2.179618,-2.179618,-2.179618,-2.179618
74482.757812,20.689655,-2.179617,-2.179617,-2.179617,-2.179617,-2.179617,-2.179617,-2.179617,-2.179617,-2.179617,-2.179617
77462.070312,21.517242,-2.179616,-2.179616,-2.179616,-2.179616,-2.179616,-2.179616,-2.179616,-2.179616,-2.179616,-2.179616
80441.382812,22.344828,-2.179615,-2.179615,-2.179615,-2.179615,-2.179615,-2.179615,-2.179615,-2.179615,-2.179615,-2.179615
83420.687500,23.172413,-2.179615,-2.179615,-2.179615,-2.179615,-2.179615,-2.179615,-2.179615,-2.179615,-2.179615,-2.179615
86400.000000,24.000000,-2.179615,-2.179615,-2.179615,-2.179615,-2.179615,-2.179615,-2.179615,-2.179615,-2.179615,-2.179615
