Time_s,Time_h,T1_Temp,T2_Temp,T3_Temp,T4_Temp,T5_Temp,T6_Temp,T7_Temp,T8_Temp,T9_Temp,T10_Temp
0.000000,0.000000,38.897064,44.329926,35.425507,27.837609,14.441620,17.939819,19.605728,19.709022,20.521973,21.580810
2979.310303,0.827586,28.777176,28.804321,28.841396,28.904823,29.072021,29.050835,29.029541,29.008041,28.986679,29.012726
5958.620605,1.655172,31.207779,31.219910,31.236526,31.264442,31.337143,31.328224,31.319061,31.309601,31.300522,31.312103
8937.930664,2.482759,32.138428,32.142639,32.148083,32.157303,32.181091,32.178078,32.175247,32.172173,32.169052,32.172806
11917.241211,3.310345,32.431046,32.432434,32.434002,32.436806,32.443527,32.442856,32.441986,32.440979,32.440308,32.441315
14896.551758,4.137931,32.517136,32.517487,32.517853,32.518684,32.520905,32.520493,32.520294,32.520020,32.519714,32.520142
17875.861328,4.965517,32.541779,32.541992,32.541973,32.542236,32.542984,32.542900,32.542892,32.542656,32.542557,32.542648
20855.171875,5.793103,32.548584,32.548828,32.548763,32.548950,32.548950,32.548920,32.548965,32.549004,32.548935,32.548950
23834.482422,6.620689,32.550797,32.550812,32.550919,32.551048,32.551147,32.551186,32.551117,32.551186,32.551086,32.551193
26813.792969,7.448276,32.551590,32.551544,32.551613,32.551628,32.551544,32.551567,32.551498,32.551552,32.551590,32.551544
29793.103516,8.275862,32.551575,32.551544,32.551491,32.551544,32.551483,32.551514,32.551483,32.551491,32.551498,32.551483
32772.414062,9.103448,32.551666,32.551666,32.551670,32.551689,32.551666,32.551682,32.551682,32.551697,32.551697,32.551682
35751.722656,9.931034,32.551544,32.551544,32.551544,32.551544,32.551544,32.551544,32.551544,32.551544,32.551544,32.551544
38731.035156,10.758621,32.551575,32.551575,32.551575,32.551575,32.551575,32.551575,32.551575,32.551575,32.551575,32.551575
41710.343750,11.586206,32.551544,32.551544,32.551544,32.551544,32.551544,32.551544,32.551544,32.551544,32.551544,32.551544
44689.656250,12.413794,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514
47668.964844,13.241379,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514
50648.277344,14.068966,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514
53627.585938,14.896552,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514
56606.898438,15.724138,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514
59586.207031,16.551723,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514
62565.515625,17.379311,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514
65544.828125,18.206896,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514
68524.140625,19.034483,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514
71503.445312,19.862068,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514
74482.757812,20.689655,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514
77462.070312,21.517242,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514
80441.382812,22.344828,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514
83420.687500,23.172413,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514
86400.000000,24.000000,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514,32.551514
